model,Cell Line Name,"ERASTIN (BRD:BRD-A25004090-001-08-4) log2 fold change PRISM Repurposing Public 24Q2"
ACH-000375,G402,-0.767398303785
ACH-000376,SF295,0.750568263447
ACH-000377,SNU478,NA
ACH-000378,NCIH647,1.56115375935
ACH-000380,KMS12BM,NA
ACH-000381,T84,NA
ACH-000383,OE33,0.921042582164
ACH-000384,SW780,0.126494942844
ACH-000387,TF1,NA
ACH-000388,NUDHL1,NA
ACH-000389,H4,1.28784990194
ACH-000390,LUDLU1,-0.897994705399
ACH-000391,MHHES1,-2.91309155296
ACH-000393,HLF,-0.340612075786
ACH-000395,NCIH520,-0.11342405919
ACH-000396,J82,-0.312414549323
ACH-000397,TEN,-1.0492658987
ACH-000398,RI1,NA
ACH-000399,NCIH2196,-0.159560426857
ACH-000400,SKCO1,0.884433054635
ACH-000401,COLO800,0.653219728825
ACH-000403,NCIH747,-2.73767529013
ACH-000404,K029AX,-1.55995285524
ACH-000406,U937,NA
ACH-000407,SNU685,-4.10669886117
ACH-000408,TE5,-0.00507640427913
ACH-000410,SAOS2,NA
ACH-000411,769P,0.442065530067
ACH-000414,NCIH1944,0.0630777460817
ACH-000415,BICR6,0.224013901136
ACH-000416,NCIH838,0.307267022457
ACH-000417,PANC0813,1.30696704229
ACH-000418,SW1353,0.698860469713
ACH-000419,KMS28BM,NA
ACH-000420,SNU449,-2.13878216599
ACH-000421,SW837,0.586106482327
ACH-000423,SKMEL3,0.81672311668
ACH-000424,TC71,NA
ACH-000425,UACC62,0.218823559975
ACH-000427,NCIN87,0.956455937238
ACH-000428,UO31,-3.85040734884
ACH-000429,A704,1.60147665116
ACH-000430,TYKNU,-2.77304967225
ACH-000431,NCIH1694,NA
ACH-000432,BV173,NA
ACH-000433,CAKI1,-0.481813788611
ACH-000434,NCIH1915,-0.81617337635
ACH-000435,EFE184,-0.981962212266
ACH-000437,SW1088,0.491016933906
ACH-000441,SH4,-0.0816462495273
ACH-000443,OVKATE,-0.150269989308
ACH-000444,LU99,0.560846327248
ACH-000445,KNS60,0.523755180283
ACH-000446,KPNSI9S,-0.0226826217291
ACH-000447,NCIH2228,-0.765001945397
ACH-000449,MESSA,1.0741194025
ACH-000450,MELHO,-0.241783283828
ACH-000452,TE8,-0.130781865412
ACH-000453,MOLP2,NA
ACH-000454,HCC95,-1.04802307916
ACH-000456,BCPAP,-4.59999126659
ACH-000457,CAL54,-1.16691072484
ACH-000458,CJM,0.12800220026
ACH-000461,SNU1196,0.615425906475
ACH-000463,NCIH460,0.469652893753
ACH-000464,CAS1,-0.176695563738
ACH-000466,SNU216,0.821143508246
ACH-000467,HCC56,-0.0382762177934
ACH-000468,PK45H,-0.743241879062
ACH-000469,YH13,-1.95191633689
ACH-000470,SW1463,-1.58315101189
ACH-000471,LI7,0.865932982129
ACH-000472,HSC2,0.525435871674
ACH-000473,RT112,0.933830268711
ACH-000475,HUH1,0.821279794455
ACH-000476,JHH4,0.452102468797
ACH-000477,MALME3M,1.87262165486
ACH-000479,KNS81,0.394539379903
ACH-000480,HUH7,-0.248510479267
ACH-000481,NCIH2170,1.41558350711
ACH-000482,RERFLCKJ,0.679119088113
ACH-000483,SNU182,-0.469712653416
ACH-000484,VMRCRCW,0.860117556886
ACH-000485,GSU,0.504602472831
ACH-000486,KU1919,1.30065020756
ACH-000488,TE11,0.704503342288
ACH-000489,SW1116,0.272202057443
ACH-000493,SNU423,-1.12740674587
ACH-000495,TUHR4TKB,0.918502652573
ACH-000496,NCIH1792,0.599500480262
ACH-000499,EW8,-0.571327934449
ACH-000500,SNU46,-2.13412446873
ACH-000502,TCCPAN2,0.524391589791
ACH-000503,BICR16,1.03149980122
ACH-000504,SNB75,0.781114444942
ACH-000505,RKN,-2.69118297349
ACH-000507,KE39,1.35328508872
ACH-000508,CORL88,NA
ACH-000509,HUT78,NA
ACH-000510,NCIH1299,-0.098707630845
ACH-000511,CALU1,NA
ACH-000514,NCIH1092,NA
ACH-000515,HCC33,NA
ACH-000516,CAL78,-0.521567307019
ACH-000517,SNU410,-0.386558028731
ACH-000518,CAL33,0.0118811315078
ACH-000521,NCIH2030,0.597389021513
ACH-000524,KURAMOCHI,-0.428877019426
ACH-000525,NCIH2171,NA
ACH-000527,OVISE,-0.858993367914
ACH-000528,ABC1,0.221970444722
ACH-000530,DMS114,-0.034244474011
ACH-000532,SNU61,0.740875262426
ACH-000533,NCIH2004RT,0.525282977613
